Date : 2026-09-15 21:16:13
Directory : /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app
Total : 104 files,  16384 codes, 215 comments, 1195 blanks, all 17794 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/account/page.tsx                                  | TypeScript JSX     |        151 |          0 |         19 |        170 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/bookings/actions.ts                         | TypeScript         |         26 |          3 |          3 |         32 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/bookings/page.tsx                           | TypeScript JSX     |         80 |          1 |          5 |         86 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/layout.tsx                                  | TypeScript JSX     |         35 |          1 |          5 |         41 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/listings/actions.ts                         | TypeScript         |         57 |          6 |          9 |         72 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/listings/page.tsx                           | TypeScript JSX     |         89 |          2 |         11 |        102 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/page.tsx                                    | TypeScript JSX     |        120 |          1 |         10 |        131 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/users/actions.ts                            | TypeScript         |         34 |          4 |          4 |         42 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/users/page.tsx                              | TypeScript JSX     |         88 |          1 |          5 |         94 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/allListings/page.tsx                              | TypeScript JSX     |        287 |          0 |         31 |        318 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/apartments/[id]/page.tsx                          | TypeScript JSX     |        149 |          0 |         13 |        162 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/api/admin/stats/route.ts                          | TypeScript         |         51 |         10 |         12 |         73 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/auth/callback/route.ts                            | TypeScript         |         39 |          0 |         10 |         49 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/check-email/page.tsx                              | TypeScript JSX     |         33 |          0 |          6 |         39 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/complete-profile/page.tsx                         | TypeScript JSX     |        159 |          0 |         23 |        182 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/fonts.ts                                          | TypeScript         |         24 |          0 |          4 |         28 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/forbidden/page.tsx                                | TypeScript JSX     |         16 |          0 |          2 |         18 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/forgot-password/page.tsx                          | TypeScript JSX     |         80 |          0 |         14 |         94 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/globals.css                                       | PostCSS            |         66 |          0 |         10 |         76 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/layout.tsx                                   | TypeScript JSX     |         15 |          1 |          2 |         18 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/listings/[id]/edit/page.tsx                  | TypeScript JSX     |         77 |          1 |          9 |         87 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/listings/actions.ts                          | TypeScript         |        113 |          2 |         20 |        135 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/listings/new/page.tsx                        | TypeScript JSX     |         14 |          1 |          1 |         16 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/onboarding/page.tsx                          | TypeScript JSX     |        260 |          0 |         30 |        290 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/page.tsx                                     | TypeScript JSX     |         56 |          1 |          5 |         62 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/pending-review/page.tsx                      | TypeScript JSX     |        109 |          0 |         12 |        121 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/layout.tsx                                        | TypeScript JSX     |         24 |          0 |          2 |         26 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/admin-auth.ts                                 | TypeScript         |         18 |          1 |          3 |         22 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/host-auth.ts                                  | TypeScript         |         17 |          1 |          5 |         23 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/admin.ts                             | TypeScript         |         21 |          1 |          3 |         25 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/browser.ts                           | TypeScript         |          8 |          1 |          1 |         10 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/client.ts                            | TypeScript         |         10 |          0 |          5 |         15 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/server.ts                            | TypeScript         |         25 |          2 |          2 |         29 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/page.tsx                                          | TypeScript JSX     |        224 |          1 |         23 |        248 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/reset-password/page.tsx                           | TypeScript JSX     |        119 |          0 |         15 |        134 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/signin/page.tsx                                   | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/signup/page.tsx                                   | TypeScript JSX     |        247 |          3 |         27 |        277 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/ApartmentDetails.tsx                       | TypeScript JSX     |        198 |          2 |         25 |        225 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/BookingProcess.tsx                         | TypeScript JSX     |        200 |          5 |         19 |        224 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/Countydirectory.tsx                        | TypeScript JSX     |        281 |         18 |         30 |        329 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/HeroSection.tsx                            | TypeScript JSX     |         59 |          6 |          6 |         71 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/ListingCard.tsx                            | TypeScript JSX     |        291 |          0 |         43 |        334 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/Populardestinations.tsx                    | TypeScript JSX     |        284 |         21 |         48 |        353 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/QuickRoutes.tsx                            | TypeScript JSX     |         24 |          0 |          3 |         27 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/SearchBar.tsx                              | TypeScript JSX     |        313 |          4 |         38 |        355 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/SigninClient.tsx                           | TypeScript JSX     |        252 |          1 |         26 |        279 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/WhyBookUs.tsx                              | TypeScript JSX     |         72 |          2 |          9 |         83 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/bookings/booking-row-actions.tsx     | TypeScript JSX     |         42 |          1 |          5 |         48 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/bookings/tabs.tsx                    | TypeScript JSX     |         31 |          1 |          4 |         36 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/listings/listing-row-actions.tsx     | TypeScript JSX     |         51 |          1 |          4 |         56 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/listings/tabs.tsx                    | TypeScript JSX     |         31 |          1 |          4 |         36 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/sidebar.tsx                          | TypeScript JSX     |         56 |          1 |          7 |         64 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/users/tabs.tsx                       | TypeScript JSX     |         24 |          1 |          4 |         29 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/admin/users/user-row-actions.tsx           | TypeScript JSX     |         83 |          1 |          5 |         89 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/AvailabilityCalendar.tsx | TypeScript JSX     |        133 |          1 |         19 |        153 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/ListingPolicies.tsx      | TypeScript JSX     |        111 |          0 |          9 |        120 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/LocationMap.tsx          | TypeScript JSX     |         34 |          1 |          5 |         40 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/PhotoLightbox.tsx        | TypeScript JSX     |         77 |          1 |          9 |         87 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/PriceBreakdown.tsx       | TypeScript JSX     |         39 |          1 |          4 |         44 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/RelatedListings.tsx      | TypeScript JSX     |         41 |          1 |          3 |         45 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/ReviewsSection.tsx       | TypeScript JSX     |         55 |          1 |          5 |         61 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/StayDetails.tsx          | TypeScript JSX     |         30 |          1 |          3 |         34 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/StickyPriceBar.tsx       | TypeScript JSX     |         21 |          1 |          1 |         23 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/appartmentDetails/amenities.tsx            | TypeScript JSX     |         81 |          2 |          9 |         92 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/counties.ts                                | TypeScript         |        206 |         13 |         30 |        249 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/fearturedListingCard.tsx                   | TypeScript JSX     |        283 |          9 |         38 |        330 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/footer.tsx                                 | TypeScript JSX     |        265 |          9 |         22 |        296 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/homeData.ts                                | TypeScript         |        902 |         17 |        180 |      1,099 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/host/image-uploader.tsx                    | TypeScript JSX     |         80 |          2 |          9 |         91 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/host/listing-form.tsx                      | TypeScript JSX     |        207 |          1 |         11 |        219 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/host/sidebar.tsx                           | TypeScript JSX     |         47 |          1 |          4 |         52 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Activefilterchips.tsx             | TypeScript JSX     |         33 |          0 |          4 |         37 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Emptystate.tsx                    | TypeScript JSX     |         25 |          0 |          1 |         26 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Feartured/FeaturedListings.tsx    | TypeScript JSX     |         40 |          6 |          6 |         52 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Filtersidebar.tsx                 | TypeScript JSX     |        178 |          6 |         12 |        196 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/HorizontalListingCarousel.tsx     | TypeScript JSX     |         47 |          0 |          7 |         54 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/ListingCardSkeleton.tsx           | TypeScript JSX     |         32 |          0 |          4 |         36 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Listingcard.tsx                   | TypeScript JSX     |         82 |          2 |          6 |         90 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Mombasa/Listings.tsx              | TypeScript JSX     |         47 |          0 |          6 |         53 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/listings/Nairobi/Listings.tsx              | TypeScript JSX     |         47 |          0 |          6 |         53 |
