"filename", "language", "Markdown", "TypeScript", "JSON", "TypeScript JSX", "XML", "JSON with Comments", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/client.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/server.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 2, 2, 29
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/page.tsx", "TypeScript JSX", 0, 0, 0, 224, 0, 0, 0, 0, 1, 23, 248
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/reset-password/page.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 0, 15, 134
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/signin/page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/signup/page.tsx", "TypeScript JSX", 0, 0, 0, 247, 0, 0, 0, 0, 3, 27, 277
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/ApartmentDetails.tsx", "TypeScript JSX", 0, 0, 0, 198, 0, 0, 0, 0, 2, 25, 225
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/BookingProcess.tsx", "TypeScript JSX", 0, 0, 0, 200, 0, 0, 0, 0, 5, 19, 224
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/Countydirectory.tsx", "TypeScript JSX", 0, 0, 0, 281, 0, 0, 0, 0, 18, 30, 329
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/HeroSection.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 6, 6, 71
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/ListingCard.tsx", "TypeScript JSX", 0, 0, 0, 291, 0, 0, 0, 0, 0, 43, 334
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/Populardestinations.tsx", "TypeScript JSX", 0, 0, 0, 284, 0, 0, 0, 0, 21, 48, 353
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/QuickRoutes.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 313, 0, 0, 0, 0, 4, 38, 355
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/components/SigninClient.tsx", "TypeScript JSX", 0, 0, 0, 252, 0, 0, 0, 0, 1, 26, 279
