"filename", "language", "Markdown", "TypeScript", "JSON", "MS SQL", "XML", "JavaScript", "JSON with Comments", "TypeScript JSX", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/booking/[id]/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 5, 36
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/booking/payment/callback/PaymentCallback.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 34, 187
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/booking/payment/callback/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/check-email/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/complete-profile/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 23, 182
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/explore-by-county/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/fonts.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/forbidden/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/forgot-password/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 14, 94
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 10, 79
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/homepageSections.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 16
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host-listing-agreement-and-terms-of-service/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/bookings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 293, 0, 0, 22, 42, 357
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 3, 15
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/listings/[id]/edit/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 408, 0, 0, 12, 66, 486
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/listings/new/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 5, 27
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/listings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 361, 0, 0, 24, 57, 442
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/onboarding/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 329, 0, 0, 6, 34, 369
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 1, 10, 117
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/payouts/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 1, 9, 75
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/host/pending-review/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/account.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 80
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/admin-auth.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/format.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 87
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/host-auth.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/host/actions.ts", "TypeScript", 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 331
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/host/queries.ts", "TypeScript", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 23, 21, 194
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/host/types.ts", "TypeScript", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 124
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/payments/placeholder.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 25
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/paystack-payment.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 78
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/paystack.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 78
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/routes.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/admin.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 25
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/browser.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/client.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/route.ts", "TypeScript", 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 214
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/lib/supabase/server.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 29
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/listings/[county]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 10, 100
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 25, 258
